numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
50,50,1,0.10,all_rebid,10% start,500,10794,8.79,1.01,0.0039,0
50,50,1,0.10,all_rebid,cold start,3150,66696,55.19,1.11,0.0147,0
50,50,1,0.10,all_rebid,rolling deploy,300,6300,5.37,1.10,0.0210,0
50,50,1,0.20,compare_to_percentile,10% start,500,6132,8.84,0.91,0.0037,0
50,50,1,0.20,compare_to_percentile,cold start,3150,38160,54.45,1.04,0.0123,0
50,50,1,0.20,compare_to_percentile,rolling deploy,300,3612,5.28,0.91,0.0125,0
50,50,1,0.20,all_rebid,10% start,500,10647,8.79,0.94,0.0034,0
50,50,1,0.20,all_rebid,cold start,3150,67431,55.13,1.01,0.0154,0
50,50,1,0.20,all_rebid,rolling deploy,300,6426,5.41,0.98,0.0226,0
50,50,2,0.05,compare_to_percentile,10% start,500,6960,4.63,1.03,0.0048,0
50,50,2,0.05,compare_to_percentile,cold start,3150,40872,28.89,1.10,0.0149,0
50,50,2,0.05,compare_to_percentile,rolling deploy,300,3768,2.76,0.95,0.0370,0
50,50,2,0.05,all_rebid,10% start,500,11508,4.46,0.96,0.0047,0
50,50,2,0.05,all_rebid,cold start,3150,68439,27.84,1.09,0.0163,0
50,50,2,0.05,all_rebid,rolling deploy,300,6657,2.91,1.09,0.0329,0
50,50,2,0.10,compare_to_percentile,10% start,500,6336,4.44,0.95,0.0041,0
50,50,2,0.10,compare_to_percentile,cold start,3150,40488,28.63,1.10,0.0121,0
50,50,2,0.10,compare_to_percentile,rolling deploy,300,3900,2.85,1.11,0.0282,0
50,50,2,0.10,all_rebid,10% start,500,11277,4.50,0.97,0.0035,0
50,50,2,0.10,all_rebid,cold start,3150,68691,28.32,1.12,0.0127,0
50,50,2,0.10,all_rebid,rolling deploy,300,6741,2.81,1.04,0.0233,0
50,50,2,0.20,compare_to_percentile,10% start,500,6456,4.51,0.95,0.0045,0
50,50,2,0.20,compare_to_percentile,cold start,3150,39048,27.70,1.17,0.0143,0
50,50,2,0.20,compare_to_percentile,rolling deploy,300,3672,2.67,0.90,0.0053,0
50,50,2,0.20,all_rebid,10% start,500,10857,4.46,0.92,0.0050,0
50,50,2,0.20,all_rebid,cold start,3150,68040,27.61,1.07,0.0151,0
50,50,2,0.20,all_rebid,rolling deploy,300,6405,2.73,0.94,0.0065,0
50,50,5,0.05,compare_to_percentile,10% start,500,7836,1.84,0.93,0.0034,0
50,50,5,0.05,compare_to_percentile,cold start,3150,40776,11.25,1.07,0.0174,0
50,50,5,0.05,compare_to_percentile,rolling deploy,300,4092,1.76,0.93,0.0075,0
50,50,5,0.05,all_rebid,10% start,500,12642,1.82,0.97,0.0041,0
50,50,5,0.05,all_rebid,cold start,3150,73458,11.34,1.04,0.0139,0
50,50,5,0.05,all_rebid,rolling deploy,300,7161,1.75,0.92,0.0075,0
50,50,5,0.10,compare_to_percentile,10% start,500,8460,1.83,0.93,0.0043,0
50,50,5,0.10,compare_to_percentile,cold start,3150,41580,11.31,1.07,0.0143,0
50,50,5,0.10,compare_to_percentile,rolling deploy,300,4284,1.75,0.95,0.0065,0
50,50,5,0.10,all_rebid,10% start,500,13965,1.89,0.98,0.0048,0
50,50,5,0.10,all_rebid,cold start,3150,72324,11.36,1.09,0.0164,0
50,50,5,0.10,all_rebid,rolling deploy,300,7182,1.75,1.09,0.0075,0
50,50,5,0.20,compare_to_percentile,10% start,500,9516,1.83,0.94,0.0045,0
50,50,5,0.20,compare_to_percentile,cold start,3150,41136,11.26,1.10,0.0143,0
50,50,5,0.20,compare_to_percentile,rolling deploy,300,3948,1.73,0.92,0.0065,0
50,50,5,0.20,all_rebid,10% start,500,13209,1.83,0.94,0.0039,0
50,50,5,0.20,all_rebid,cold start,3150,75096,11.36,1.11,0.0182,0
50,50,5,0.20,all_rebid,rolling deploy,300,6993,1.76,0.93,0.0075,0
