numCells,numAuctioneers,concurrentAuctionsPerAuctioneer,maxBiddingPoolFraction,algorithm,scenario,# auctions,communication,waitTime,biddingTime,distributionScore,nMissing
50,50,1,0.10,all_rebid,10% start,500,10647,8.75,0.99,0.0043,0
50,50,1,0.10,all_rebid,cold start,3150,66717,54.71,1.05,0.0170,0
50,50,1,0.10,all_rebid,rolling deploy,300,6321,5.33,0.91,0.0084,0
50,50,1,0.20,compare_to_percentile,10% start,500,6108,8.80,0.92,0.0047,0
50,50,1,0.20,compare_to_percentile,cold start,3150,38112,54.57,0.98,0.0139,0
50,50,1,0.20,compare_to_percentile,rolling deploy,300,3636,5.29,0.93,0.0131,0
50,50,1,0.20,all_rebid,10% start,500,10773,8.75,1.06,0.0045,0
50,50,1,0.20,all_rebid,cold start,3150,66717,54.57,1.01,0.0139,0
50,50,1,0.20,all_rebid,rolling deploy,300,6321,5.33,0.91,0.0160,0
50,50,2,0.05,compare_to_percentile,10% start,500,6276,4.41,0.91,0.0039,0
50,50,2,0.05,compare_to_percentile,cold start,3150,38700,27.57,0.96,0.0123,0
50,50,2,0.05,compare_to_percentile,rolling deploy,300,3696,2.68,0.92,0.0065,0
50,50,2,0.05,all_rebid,10% start,500,11088,4.41,0.92,0.0034,0
50,50,2,0.05,all_rebid,cold start,3150,67914,27.65,0.99,0.0134,0
50,50,2,0.05,all_rebid,rolling deploy,300,6510,2.68,0.91,0.0192,0
50,50,2,0.10,compare_to_percentile,10% start,500,6372,4.42,0.91,0.0046,0
50,50,2,0.10,compare_to_percentile,cold start,3150,38940,27.64,1.03,0.0160,0
50,50,2,0.10,compare_to_percentile,rolling deploy,300,3732,2.68,0.91,0.0107,0
50,50,2,0.10,all_rebid,10% start,500,11088,4.53,1.03,0.0043,0
50,50,2,0.10,all_rebid,cold start,3150,67914,27.81,1.09,0.0173,0
50,50,2,0.10,all_rebid,rolling deploy,300,6384,2.68,0.92,0.0160,0
50,50,2,0.20,compare_to_percentile,10% start,500,6708,4.44,0.92,0.0053,0
50,50,2,0.20,compare_to_percentile,cold start,3150,38544,27.62,0.98,0.0151,0
50,50,2,0.20,compare_to_percentile,rolling deploy,300,3684,2.70,0.93,0.0253,0
50,50,2,0.20,all_rebid,10% start,500,11256,4.46,0.93,0.0035,0
50,50,2,0.20,all_rebid,cold start,3150,67326,27.71,1.11,0.0143,0
50,50,2,0.20,all_rebid,rolling deploy,300,6447,2.69,0.92,0.0065,0
50,50,5,0.05,compare_to_percentile,10% start,500,8928,1.82,0.94,0.0039,0
50,50,5,0.05,compare_to_percentile,cold start,3150,42444,11.32,1.10,0.0147,0
50,50,5,0.05,compare_to_percentile,rolling deploy,300,4092,1.76,0.92,0.0065,0
50,50,5,0.05,all_rebid,10% start,500,13692,1.84,0.98,0.0050,0
50,50,5,0.05,all_rebid,cold start,3150,71337,11.30,0.94,0.0100,0
50,50,5,0.05,all_rebid,rolling deploy,300,6930,1.87,1.03,0.0196,0
50,50,5,0.10,compare_to_percentile,10% start,500,8748,1.84,0.94,0.0030,0
